29	29	28
57	57	56
58	58	57
113	113	112
114	114	113
115	115	114
116	116	115
201	201	200
203	203	202
205	205	204
207	207	206
226	226	225
228	228	227
230	230	229
232	232	231
251	251	250
253	253	252
255	255	254
402	402	401
406	406	405
410	410	409
414	414	413
427	427	426
431	431	430
435	435	434
439	439	438
452	452	451
456	456	455
460	460	459
464	464	463
477	477	476
481	481	480
485	485	484
489	489	488
502	502	501
506	506	505
510	510	509
803	803	802
804	804	803
812	812	811
820	820	819
828	828	827
829	829	828
837	837	836
845	845	844
853	853	852
854	854	853
862	862	861
870	870	869
878	878	877
879	879	878
887	887	886
895	895	894
903	903	902
904	904	903
912	912	911
920	920	919
928	928	927
929	929	928
937	937	936
945	945	944
953	953	952
954	954	953
962	962	961
970	970	969
978	978	977
979	979	978
987	987	986
995	995	994
