[Sat Apr 10 05:50:07 2010] Sat Apr 10 05:50:07 2010


[Sat Apr 10 05:50:27 2010] |AVL1|C123|-112108220|33444780|1800|1800|078000|078000|||||46230000|0|2|1000|3|20||
[Sat Apr 10 05:50:48 2010] |AVL1|C123|-112108200|33438240|1800|1800|076000|076000|||||46251000|0|2|1000|3|20||
[Sat Apr 10 05:51:08 2010] |AVL1|C123|-112108070|33432140|1640|1640|072000|072000|||||46271000|0|2|1000|3|20||
[Sat Apr 10 05:51:28 2010] |AVL1|C123|-112103200|33428650|0970|0970|071000|071000|||||46291000|0|2|1000|3|20||
[Sat Apr 10 05:51:49 2010] |AVL1|C123|-112096360|33429070|0840|0840|062000|062000|||||46312000|0|2|1000|3|20||
[Sat Apr 10 05:52:09 2010] |AVL1|C123|-112090400|33429560|0860|0860|063000|063000|||||46332000|0|2|1000|3|20||
[Sat Apr 10 05:52:29 2010] |AVL1|C123|-112084560|33429390|0960|0960|065000|065000|||||46351000|0|2|1000|3|20||
[Sat Apr 10 05:52:30 2010] |AVL1|C123|-112084240|33429360|0960|0960|065000|065000|||||46352000|0|2|1000|3|20||
[Sat Apr 10 05:53:10 2010] |AVL1|C123|-112071820|33428230|0960|0960|066000|066000|||||46393000|0|2|1000|3|20||
[Sat Apr 10 05:53:30 2010] |AVL1|C123|-112065870|33428710|0780|0780|064000|064000|||||46412000|0|2|1000|3|20||
[Sat Apr 10 05:53:31 2010] |AVL1|C123|-112065260|33428810|0800|0800|064000|064000|||||46414000|0|2|1000|3|20||
[Sat Apr 10 05:53:52 2010] |AVL1|C123|-112059120|33428540|1000|1000|064000|064000|||||46434000|0|2|1000|3|20||
[Sat Apr 10 05:54:11 2010] |AVL1|C123|-112053440|33427640|1020|1020|054000|054000|||||46454000|0|2|1000|3|20||
