FRnwf001;DateLock Fr 26/05/2006  ;FRSLS916;gorid;fr.indosuez;00-00-00-00-00-00;10.136.40.62;5.0;EVOW6000W2KV2.32
FRnwf001;DateLock Fr 26.05.2006  ;FRSLS918;jodon;fr.indosuez;00-00-00-00-00-00;10.136.40.64;5.0;EVOW6000W2KV2.31
FRnwf001;DateLock Mi 24/05/2006  ;FRSLS920;dagal;fr.indosuez;00-00-00-00-00-00;10.136.40.66;5.0;EVOW6000W2KV2.31
FRnwf001;DateLock Mon 22/05/2006  ;FRSLS921;anvol;fr.indosuez;00-00-00-00-00-00;10.136.40.67;5.0;EVOW6000W2KV2.31
FRnwf001;DateLock Fr 26.05.2006  ;frsls923;nilon;fr.indosuez;00-00-00-00-00-00;10.136.40.69;5.0;EVOW6000W2KV2.31
FRnwf001;DateLock Mo 29/05/2006  ;frsls925;thhol;fr.indosuez;00-00-00-00-00-00;10.136.40.71;5.0;EVOW6000W2KV2.31
FRnwf001;DateLock Mi 24/05/2006  ;FRSLS926;dabal;fr.indosuez;00-00-00-00-00-00;10.136.40.72;5.0;EVOW6000W2KV2.31
FRnwf001;DateLock Mo 29.05.2006  ;FRSLS928;dance;fr.indosuez;00-00-00-00-00-00;10.136.40.74;5.0;EVOW6000W2KV2.31
FRnwf001;DateLock Mo 29.05.2006  ;FRSLS930;jodon;fr.indosuez;00-00-00-00-00-00;10.136.40.97;5.0;EVOX6000W2Kv2.32
FRnwf001;DateLock Fr 26.05.2006  ;frsls932;bg_gorid;fr.indosuez;00-08-C7-82-92-86;10.136.40.107;5.0;AP400P2W2KV2.31
FRnwf001;DateLock Fr 26/05/2006  ;frsls933;malol;fr.indosuez;00-50-8B-48-F6-A5;10.136.40.110;5.0;AP400P3W2KV2.31
FRnwf001;DateLock Fr 26/05/2006  ;frsls934;bg_anblo;fr.indosuez;00-08-C7-7C-BD-08;10.136.40.112;5.0;AP400P3W2KV2.31
FRnwf001;DateLock Fri 26/05/2006  ;frtcc901;sn_anvol;fr.indosuez;00-00-00-00-00-00;10.136.40.9;5.0;EVOX62KW2KV2.41
FRnwf001;DateLock Fr 05/26/2006  ;frtcc902;sn_juhei;fr.indosuez;00-00-00-00-00-00;10.136.40.121;5.0;EVOX62KW2KV2.41
FRnwf001;DateLock Fri 05/26/2006  ;frtcc903;sn_dadie;fr.indosuez;00-00-00-00-00-00;10.136.40.122;5.0;EVOX62KW2KV2.41
FRnwf001;DateLock Mon 29/05/2006  ;frtcc904;sn_pedor;fr.indosuez;00-00-00-00-00-00;10.136.40.123;5.0;EVOX62KW2KV2.41
FRnwf001;DateLock Fri 26/05/2006  ;frtcc905;sn_grhuw;fr.indosuez;00-00-00-00-00-00;10.136.40.126;5.0;EVOX62KW2KV2.41
FRnwf001;DateLock Mi 24/05/2006  ;frwks901;vi_nasch;fr.indosuez;00-08-C7-82-92-B9;10.136.40.118;5.0;AP400P2W2KV2.31
LOnwf001;DateLock Fri 26/05/2006  ;lotcc901;sn_pabig;lo.indosuez;00-00-00-00-00-00;10.136.59.65;5.0;EVOX62KW2KV2.41
