0x0105DE|2|3332|Res|Ina|Ena|Hid|x|ThunderRT6PictureBoxDC
0x020416|2|3332|Res|Ina|Ena|Hid|x|ThunderRT6ListBox
0x02041C|2|3332|Res|Ina|Ena|Hid|x|ThunderRT6ListBox
0x0105A8|2|3332|Res|Ina|Ena|Hid|x|ThunderRT6ListBox
0x02042C|2|3332|Res|Ina|Ena|Hid|x|ThunderRT6Frame
0x02042A|2|3332|Res|Ina|Ena|Vis|x|ThunderRT6PictureBoxDC
0x020428|3|3332|Res|Ina|Ena|Vis|x|ThunderRT6PictureBoxDC
0x020426|4|3332|Res|Ina|Ena|Vis|x|Selected Lo&cations
0x020424|4|3332|Res|Ina|Ena|Vis|x|...
0x020420|4|3332|Res|Ina|Ena|Vis|x|ThunderRT6UserControlDC
0x02041E|5|3332|Res|Ina|Ena|Vis|x|ThunderRT6ComboBox
0x020418|6|3332|Res|Ina|Ena|Vis|x|Edit
0x02043A|4|3332|Res|Ina|Ena|Vis|x|ThunderRT6UserControlDC
0x010446|5|3332|Res|Ina|Ena|Vis|x|ThunderRT6ComboBox
0x01044A|6|3332|Res|Ina|Ena|Vis|x|Edit
0x01044C|4|3332|Res|Ina|Ena|Vis|x|&Match case
0x01044E|4|3332|Res|Ina|Ena|Vis|x|Whole &words
0x010450|4|3332|Res|Ina|Ena|Vis|x|Follow f&older links
0x010452|4|3332|Res|Ina|Ena|Vis|x|Fu&zzy
0x010454|4|3332|Res|Ina|Ena|Vis|x|Inve&rt
0x010456|4|3332|Res|Ina|Ena|Vis|x|Chec&k full path
0x010458|4|3332|Res|Ina|Ena|Vis|x|Include s&ubfolders
0x01045A|3|3332|Res|Ina|Ena|Hid|x|ThunderRT6PictureBoxDC
0x01045C|4|3332|Res|Ina|Ena|Vis|x|Match &unicode
0x01045E|4|3332|Res|Ina|Ena|Vis|x|&Match case
0x010460|4|3332|Res|Ina|Ena|Vis|x|It's a &hex string
0x010462|4|3332|Res|Ina|Ena|Vis|x|ThunderRT6TextBox
0x010464|3|3332|Res|Ina|Ena|Hid|x|ThunderRT6PictureBoxDC
0x010466|4|3332|Res|Ina|Ena|Vis|x|From &start of unit
0x010468|4|3332|Res|Ina|Ena|Vis|x|in the &last
0x01046A|4|3332|Res|Ina|Ena|Vis|x|&between
0x01046C|4|3332|Res|Ina|Ena|Vis|x|ThunderRT6TextBox
0x01046E|4|3332|Res|Ina|Ena|Vis|x|ThunderRT6TextBox
0x010470|4|3332|Res|Ina|Ena|Vis|x|1
0x010472|4|3332|Res|Ina|Ena|Vis|x|ThunderRT6ComboBox
0x010476|4|3332|Res|Ina|Ena|Vis|x|ThunderRT6ComboBox
0x01047A|4|3332|Res|Ina|Ena|Vis|x|&Not
0x01047C|4|3332|Res|Ina|Ena|Vis|x|ThunderRT6UserControlDC
0x01047E|5|3332|Res|Ina|Ena|Hid|x|ThunderRT6Timer
0x010480|3|3332|Res|Ina|Ena|Vis|x|Re&set Filters
0x010482|3|3332|Res|Ina|Ena|Hid|x|ThunderRT6PictureBoxDC
0x010484|4|3332|Res|Ina|Ena|Vis|x|Not
0x010486|4|3332|Res|Ina|Ena|Vis|x|Encrypted
0x010488|4|3332|Res|Ina|Ena|Vis|x|Compressed
0x01048A|4|3332|Res|Ina|Ena|Vis|x|Not
0x01048C|4|3332|Res|Ina|Ena|Vis|x|Temporary
0x01048E|4|3332|Res|Ina|Ena|Vis|x|Not
0x010490|4|3332|Res|Ina|Ena|Vis|x|Normal
0x010492|4|3332|Res|Ina|Ena|Vis|x|Not
0x010494|4|3332|Res|Ina|Ena|Vis|x|Not
0x010496|4|3332|Res|Ina|Ena|Vis|x|Not
0x010498|4|3332|Res|Ina|Ena|Vis|x|Not
0x01049A|4|3332|Res|Ina|Ena|Vis|x|Not
0x01049C|4|3332|Res|Ina|Ena|Vis|x|Not
0x01049E|4|3332|Res|Ina|Ena|Vis|x|Hidden
0x0104A0|4|3332|Res|Ina|Ena|Vis|x|System
0x0104A2|4|3332|Res|Ina|Ena|Vis|x|Directory
