File Name	Sample ID	Acquisition Date	Gate	Gated Events	Total Events	X Parameter	Y Parameter	Quad Location	Tube	Panel	Label	Events	% Gated	% Total	X Geo Mean	Y Geo Mean	Median	
Data.0405.015	DBA.SP-B220/CD4	05-Apr-06	G1	10009	20855	FL1-H B220-FITC (Log)	FL2-H CD4-PE (Log)	12, 20	tube #7	Krishna-1 copy	LR	6809	68.03	.	258.48	3.10	.	
.	DBA.SP-B220/CD4	.	.	.	.	.	.	.	tube #7	.	All	.	100.00	47.99	76.61	.	243.62	
.	DBA.SP-B220/CD4	.	.	.	.	.	.	.	tube #7	.	M1	.	29.85	14.33	4.53	.	4.66	
.	DBA.SP-B220/CD4	.	.	.	.	.	.	.	tube #7	.	M2	.	70.06	33.62	256.23	.	313.40	
.	DBA.SP-B220/CD4	.	.	.	.	.	.	.	tube #7	.	All	.	100.00	47.99	10.63	.	4.70	
.	DBA.SP-B220/CD4	.	.	.	.	.	.	.	tube #7	.	M1	.	67.67	32.48	3.83	.	4.00	
.	DBA.SP-B220/CD4	.	.	.	.	.	.	.	tube #7	.	M2	.	22.51	10.80	627.54	.	938.98	
Data.0405.016	DBA.SP-B220/CXCR4	05-Apr-06	No Gate	21607	21607	FSC-H FSC-Height (Linear)	SSC-H SSC-Height (Linear)	.	tube #8	Krishna-1 copy	R1	10025	46.40	.	477.54	235.91	.	
Data.0405.016	DBA.SP-B220/CXCR4	05-Apr-06	G1	10025	21607	FL1-H B220-FITC (Log)	FL2-H CXCR4-PE (Log)	12, 20	tube #8	Krishna-1 copy	UL	15	0.15	.	5.53	36.15	.	
Data.0405.016	DBA.SP-B220/CXCR4	05-Apr-06	G1	10025	21607	FL1-H B220-FITC (Log)	FL2-H CXCR4-PE (Log)	12, 20	tube #8	Krishna-1 copy	UR	200	2.00	.	120.14	49.42	.	
Data.0405.016	DBA.SP-B220/CXCR4	05-Apr-06	G1	10025	21607	FL1-H B220-FITC (Log)	FL2-H CXCR4-PE (Log)	12, 20	tube #8	Krishna-1 copy	LL	2809	28.02	.	4.20	3.18	.	
Data.0405.016	DBA.SP-B220/CXCR4	05-Apr-06	G1	10025	21607	FL1-H B220-FITC (Log)	FL2-H CXCR4-PE (Log)	12, 20	tube #8	Krishna-1 copy	LR	7001	69.84	.	241.17	2.90	.	
.	DBA.SP-B220/CXCR4	.	.	.	.	.	.	.	tube #8	.	All	.	100.00	46.40	76.03	.	237.14	
.	DBA.SP-B220/CXCR4	.	.	.	.	.	.	.	tube #8	.	M1	.	28.85	13.38	4.32	.	4.29	
.	DBA.SP-B220/CXCR4	.	.	.	.	.	.	.	tube #8	.	M2	.	71.01	32.95	244.64	.	307.81	
.	DBA.SP-B220/CXCR4	.	.	.	.	.	.	.	tube #8	.	All	.	100.00	46.40	3.16	.	3.13	
.	DBA.SP-B220/CXCR4	.	.	.	.	.	.	.	tube #8	.	M1	.	85.74	39.78	3.37	.	3.40	
.	DBA.SP-B220/CXCR4	.	.	.	.	.	.	.	tube #8	.	M2	.	2.86	1.33	37.47	.	30.51	
Data.0405.017	DBA.SP-B220/C54	05-Apr-06	No Gate	20861	20861	FSC-H FSC-Height (Linear)	SSC-H SSC-Height (Linear)	.	tube #9	Krishna-1 copy	R1	9997	47.92	.	476.62	234.30	.	
Data.0405.017	DBA.SP-B220/C54	05-Apr-06	G1	9997	20861	FL1-H B220-FITC (Log)	FL2-H CD54-PE (Log)	12, 20	tube #9	Krishna-1 copy	UL	2497	24.98	.	4.31	84.76	.	
Data.0405.017	DBA.SP-B220/C54	05-Apr-06	G1	9997	20861	FL1-H B220-FITC (Log)	FL2-H CD54-PE (Log)	12, 20	tube #9	Krishna-1 copy	UR	6797	67.99	.	249.03	95.32	.	
Data.0405.017	DBA.SP-B220/C54	05-Apr-06	G1	9997	20861	FL1-H B220-FITC (Log)	FL2-H CD54-PE (Log)	12, 20	tube #9	Krishna-1 copy	LL	576	5.76	.	3.74	10.14	.	
Data.0405.017	DBA.SP-B220/C54	05-Apr-06	G1	9997	20861	FL1-H B220-FITC (Log)	FL2-H CD54-PE (Log)	12, 20	tube #9	Krishna-1 copy	LR	127	1.27	.	90.42	9.76	.	
.	DBA.SP-B220/C54	.	.	.	.	.	.	.	tube #9	.	All	.	100.00	47.92	70.08	.	230.82	
.	DBA.SP-B220/C54	.	.	.	.	.	.	.	tube #9	.	M1	.	31.30	15.00	4.28	.	4.26	
.	DBA.SP-B220/C54	.	.	.	.	.	.	.	tube #9	.	M2	.	68.56	32.86	251.90	.	310.59	
.	DBA.SP-B220/C54	.	.	.	.	.	.	.	tube #9	.	All	.	100.00	47.92	79.03	.	79.15	
.	DBA.SP-B220/C54	.	.	.	.	.	.	.	tube #9	.	M1	.	4.80	2.30	7.87	.	9.26	
.	DBA.SP-B220/C54	.	.	.	.	.	.	.	tube #9	.	M2	.	94.90	45.48	89.32	.	83.54	
Data.0405.018	DBA.SP-B220/B7.2	05-Apr-06	No Gate	20278	20278	FSC-H FSC-Height (Linear)	SSC-H SSC-Height (Linear)	.	tube #10	Krishna-1 copy	R1	10006	49.34	.	468.12	235.16	.	
Data.0405.018	DBA.SP-B220/B7.2	05-Apr-06	G1	10006	20278	FL1-H B220-FITC (Log)	FL2-H B7.2-PE (Log)	12, 20	tube #10	Krishna-1 copy	UL	1258	12.57	.	4.37	49.93	.	
Data.0405.018	DBA.SP-B220/B7.2	05-Apr-06	G1	10006	20278	FL1-H B220-FITC (Log)	FL2-H B7.2-PE (Log)	12, 20	tube #10	Krishna-1 copy	UR	734	7.34	.	157.69	40.73	.	
Data.0405.018	DBA.SP-B220/B7.2	05-Apr-06	G1	10006	20278	FL1-H B220-FITC (Log)	FL2-H B7.2-PE (Log)	12, 20	tube #10	Krishna-1 copy	LL	1697	16.96	.	4.23	7.98	.	
Data.0405.018	DBA.SP-B220/B7.2	05-Apr-06	G1	10006	20278	FL1-H B220-FITC (Log)	FL2-H B7.2-PE (Log)	12, 20	tube #10	Krishna-1 copy	LR	6317	63.13	.	251.13	4.47	.	
.	DBA.SP-B220/B7.2	.	.	.	.	.	.	.	tube #10	.	All	.	100.00	49.34	72.96	.	237.14	
.	DBA.SP-B220/B7.2	.	.	.	.	.	.	.	tube #10	.	M1	.	30.06	14.83	4.37	.	4.41	
.	DBA.SP-B220/B7.2	.	.	.	.	.	.	.	tube #10	.	M2	.	69.78	34.43	246.24	.	305.05	
.	DBA.SP-B220/B7.2	.	.	.	.	.	.	.	tube #10	.	All	.	100.00	49.34	7.86	.	7.50	
.	DBA.SP-B220/B7.2	.	.	.	.	.	.	.	tube #10	.	M1	.	68.93	34.01	5.19	.	5.73	
.	DBA.SP-B220/B7.2	.	.	.	.	.	.	.	tube #10	.	M2	.	24.86	12.26	38.23	.	31.62	
Data.0405.019	DBA.SP-CD3/CXCR4	05-Apr-06	No Gate	18317	18317	FSC-H FSC-Height (Linear)	SSC-H SSC-Height (Linear)	.	tube #11	Krishna-1 copy	R1	10013	54.67	.	475.10	236.41	.	
Data.0405.019	DBA.SP-CD3/CXCR4	05-Apr-06	G1	10013	18317	FL1-H CD3-FITC (Log)	FL2-H CXCR4-PE (Log)	12, 20	tube #11	Krishna-1 copy	UL	126	1.26	.	4.15	51.04	.	
Data.0405.019	DBA.SP-CD3/CXCR4	05-Apr-06	G1	10013	18317	FL1-H CD3-FITC (Log)	FL2-H CXCR4-PE (Log)	12, 20	tube #11	Krishna-1 copy	UR	112	1.12	.	37.09	39.40	.	
Data.0405.019	DBA.SP-CD3/CXCR4	05-Apr-06	G1	10013	18317	FL1-H CD3-FITC (Log)	FL2-H CXCR4-PE (Log)	12, 20	tube #11	Krishna-1 copy	LL	7563	75.53	.	3.27	3.89	.	
Data.0405.019	DBA.SP-CD3/CXCR4	05-Apr-06	G1	10013	18317	FL1-H CD3-FITC (Log)	FL2-H CXCR4-PE (Log)	12, 20	tube #11	Krishna-1 copy	LR	2212	22.09	.	102.42	3.46	.	
.	DBA.SP-CD3/CXCR4	.	.	.	.	.	.	.	tube #11	.	All	.	100.00	54.67	7.22	.	3.89	
.	DBA.SP-CD3/CXCR4	.	.	.	.	.	.	.	tube #11	.	M1	.	77.14	42.17	3.31	.	3.28	
.	DBA.SP-CD3/CXCR4	.	.	.	.	.	.	.	tube #11	.	M2	.	22.70	12.41	102.02	.	112.40	
.	DBA.SP-CD3/CXCR4	.	.	.	.	.	.	.	tube #11	.	All	.	100.00	54.67	4.02	.	4.03	
.	DBA.SP-CD3/CXCR4	.	.	.	.	.	.	.	tube #11	.	M1	.	93.76	51.25	3.91	.	4.03	
.	DBA.SP-CD3/CXCR4	.	.	.	.	.	.	.	tube #11	.	M2	.	3.06	1.67	36.63	.	30.51	
Data.0405.020	DBA.SP-CD4/CD25	05-Apr-06	No Gate	18295	18295	FSC-H FSC-Height (Linear)	SSC-H SSC-Height (Linear)	.	tube #12	Krishna-1 copy	R1	10005	54.69	.	477.01	235.81	.	
Data.0405.020	DBA.SP-CD4/CD25	05-Apr-06	G1	10005	18295	FL1-H CD4-FITC (Log)	FL2-H CD25-PE (Log)	12, 20	tube #12	Krishna-1 copy	UL	73	0.73	.	4.39	72.57	.	
Data.0405.020	DBA.SP-CD4/CD25	05-Apr-06	G1	10005	18295	FL1-H CD4-FITC (Log)	FL2-H CD25-PE (Log)	12, 20	tube #12	Krishna-1 copy	UR	330	3.30	.	99.03	98.20	.	
Data.0405.020	DBA.SP-CD4/CD25	05-Apr-06	G1	10005	18295	FL1-H CD4-FITC (Log)	FL2-H CD25-PE (Log)	12, 20	tube #12	Krishna-1 copy	LL	7649	76.45	.	3.35	3.42	.	
Data.0405.020	DBA.SP-CD4/CD25	05-Apr-06	G1	10005	18295	FL1-H CD4-FITC (Log)	FL2-H CD25-PE (Log)	12, 20	tube #12	Krishna-1 copy	LR	1953	19.52	.	97.57	3.61	.	
.	DBA.SP-CD4/CD25	.	.	.	.	.	.	.	tube #12	.	All	.	100.00	54.69	7.24	.	4.00	
.	DBA.SP-CD4/CD25	.	.	.	.	.	.	.	tube #12	.	M1	.	77.61	42.44	3.38	.	3.37	
.	DBA.SP-CD4/CD25	.	.	.	.	.	.	.	tube #12	.	M2	.	22.32	12.21	102.33	.	111.40	
.	DBA.SP-CD4/CD25	.	.	.	.	.	.	.	tube #12	.	All	.	100.00	54.69	3.95	.	3.68	
.	DBA.SP-CD4/CD25	.	.	.	.	.	.	.	tube #12	.	M1	.	92.11	50.37	3.57	.	3.65	
.	DBA.SP-CD4/CD25	.	.	.	.	.	.	.	tube #12	.	M2	.	4.55	2.49	76.93	.	63.78	
Data.0405.021	B6.LN-Unstained	05-Apr-06	No Gate	13138	13138	FSC-H FSC-Height (Linear)	SSC-H SSC-Height (Linear)	.	tube #1	Krishna-1	R1	9976	75.93	.	468.73	214.02	.	
Data.0405.021	B6.LN-Unstained	05-Apr-06	G1	9976	13138	FL1-H FL1-Height (Log)	FL2-H FL2-Height (Log)	12, 20	tube #1	Krishna-1	UL	1	0.01	.	10.09	23.50	.	
Data.0405.021	B6.LN-Unstained	05-Apr-06	G1	9976	13138	FL1-H FL1-Height (Log)	FL2-H FL2-Height (Log)	12, 20	tube #1	Krishna-1	UR	4	0.04	.	168.49	1165.22	.	
Data.0405.021	B6.LN-Unstained	05-Apr-06	G1	9976	13138	FL1-H FL1-Height (Log)	FL2-H FL2-Height (Log)	12, 20	tube #1	Krishna-1	LL	9967	99.91	.	2.15	2.90	.	
Data.0405.021	B6.LN-Unstained	05-Apr-06	G1	9976	13138	FL1-H FL1-Height (Log)	FL2-H FL2-Height (Log)	12, 20	tube #1	Krishna-1	LR	4	0.04	.	26.18	8.11	.	
.	B6.LN-Unstained	.	.	.	.	.	.	.	tube #1	.	All	.	100.00	75.93	2.16	.	2.17	
.	B6.LN-Unstained	.	.	.	.	.	.	.	tube #1	.	M1	.	99.94	75.89	2.15	.	2.17	
.	B6.LN-Unstained	.	.	.	.	.	.	.	tube #1	.	M2	.	0.06	0.05	116.52	.	195.44	
.	B6.LN-Unstained	.	.	.	.	.	.	.	tube #1	.	All	.	100.00	75.93	2.90	.	3.00	
.	B6.LN-Unstained	.	.	.	.	.	.	.	tube #1	.	M1	.	96.13	72.99	3.02	.	3.08	
.	B6.LN-Unstained	.	.	.	.	.	.	.	tube #1	.	M2	.	0.08	0.06	152.10	.	147.88	
Data.0405.022	B6.LN-CD3-FITC	05-Apr-06	No Gate	13501	13501	FSC-H FSC-Height (Linear)	SSC-H SSC-Height (Linear)	.	tube #2	Krishna-1	R1	9958	73.76	.	480.77	216.53	.	
Data.0405.022	B6.LN-CD3-FITC	05-Apr-06	G1	9958	13501	FL1-H CD3-FITC (Log)	FL2-H (Log)	12, 20	tube #2	Krishna-1	UL	0	0.00	.	.	.	.	
Data.0405.022	B6.LN-CD3-FITC	05-Apr-06	G1	9958	13501	FL1-H CD3-FITC (Log)	FL2-H (Log)	12, 20	tube #2	Krishna-1	UR	6	0.06	.	161.56	22.94	.	
Data.0405.022	B6.LN-CD3-FITC	05-Apr-06	G1	9958	13501	FL1-H CD3-FITC (Log)	FL2-H (Log)	12, 20	tube #2	Krishna-1	LL	5828	58.53	.	3.10	2.90	.	
Data.0405.022	B6.LN-CD3-FITC	05-Apr-06	G1	9958	13501	FL1-H CD3-FITC (Log)	FL2-H (Log)	12, 20	tube #2	Krishna-1	LR	4124	41.41	.	135.93	3.80	.	
.	B6.LN-CD3-FITC	.	.	.	.	.	.	.	tube #2	.	All	.	100.00	73.76	14.88	.	5.14	
.	B6.LN-CD3-FITC	.	.	.	.	.	.	.	tube #2	.	M1	.	58.73	43.32	3.12	.	3.08	
.	B6.LN-CD3-FITC	.	.	.	.	.	.	.	tube #2	.	M2	.	41.19	30.38	138.15	.	149.89	
.	B6.LN-CD3-FITC	.	.	.	.	.	.	.	tube #2	.	All	.	100.00	73.76	3.25	.	3.34	
.	B6.LN-CD3-FITC	.	.	.	.	.	.	.	tube #2	.	M1	.	94.45	69.66	3.45	.	3.46	
.	B6.LN-CD3-FITC	.	.	.	.	.	.	.	tube #2	.	M2	.	0.19	0.14	18.89	.	17.94	
Data.0405.023	B6.LN-CD4-PE	05-Apr-06	No Gate	14424	14424	FSC-H FSC-Height (Linear)	SSC-H SSC-Height (Linear)	.	tube #3	Krishna-1	R1	9981	69.20	.	470.13	216.49	.	
Data.0405.023	B6.LN-CD4-PE	05-Apr-06	G1	9981	14424	FL1-H (Log)	FL2-H CD4 PE (Log)	12, 20	tube #3	Krishna-1	UL	2594	25.99	.	2.30	423.14	.	
Data.0405.023	B6.LN-CD4-PE	05-Apr-06	G1	9981	14424	FL1-H (Log)	FL2-H CD4 PE (Log)	12, 20	tube #3	Krishna-1	UR	0	0.00	.	.	.	.	
Data.0405.023	B6.LN-CD4-PE	05-Apr-06	G1	9981	14424	FL1-H (Log)	FL2-H CD4 PE (Log)	12, 20	tube #3	Krishna-1	LL	7379	73.93	.	2.32	5.79	.	
Data.0405.023	B6.LN-CD4-PE	05-Apr-06	G1	9981	14424	FL1-H (Log)	FL2-H CD4 PE (Log)	12, 20	tube #3	Krishna-1	LR	8	0.08	.	43.57	2.21	.	
.	B6.LN-CD4-PE	.	.	.	.	.	.	.	tube #3	.	All	.	100.00	69.20	2.32	.	2.35	
.	B6.LN-CD4-PE	.	.	.	.	.	.	.	tube #3	.	M1	.	99.96	69.17	2.32	.	2.35	
.	B6.LN-CD4-PE	.	.	.	.	.	.	.	tube #3	.	M2	.	0.04	0.03	148.22	.	156.79	
.	B6.LN-CD4-PE	.	.	.	.	.	.	.	tube #3	.	All	.	100.00	69.20	17.64	.	7.99	
.	B6.LN-CD4-PE	.	.	.	.	.	.	.	tube #3	.	M1	.	69.29	47.95	5.52	.	5.78	
.	B6.LN-CD4-PE	.	.	.	.	.	.	.	tube #3	.	M2	.	29.38	20.33	293.37	.	881.68	
Data.0405.024	B6.LN-ISOTYPE	05-Apr-06	No Gate	13591	13591	FSC-H FSC-Height (Linear)	SSC-H SSC-Height (Linear)	.	tube #4	Krishna-1	R1	9981	73.44	.	466.10	209.48	.	
Data.0405.024	B6.LN-ISOTYPE	05-Apr-06	G1	9981	13591	FL1-H ISO-FITC (Log)	FL2-H ISO-PE (Log)	12, 20	tube #4	Krishna-1	UL	36	0.36	.	2.04	71.03	.	
Data.0405.024	B6.LN-ISOTYPE	05-Apr-06	G1	9981	13591	FL1-H ISO-FITC (Log)	FL2-H ISO-PE (Log)	12, 20	tube #4	Krishna-1	UR	0	0.00	.	.	.	.	
Data.0405.024	B6.LN-ISOTYPE	05-Apr-06	G1	9981	13591	FL1-H ISO-FITC (Log)	FL2-H ISO-PE (Log)	12, 20	tube #4	Krishna-1	LL	9945	99.64	.	2.06	2.79	.	
Data.0405.024	B6.LN-ISOTYPE	05-Apr-06	G1	9981	13591	FL1-H ISO-FITC (Log)	FL2-H ISO-PE (Log)	12, 20	tube #4	Krishna-1	LR	0	0.00	.	.	.	.	
.	B6.LN-ISOTYPE	.	.	.	.	.	.	.	tube #4	.	All	.	100.00	73.44	2.06	.	2.05	
.	B6.LN-ISOTYPE	.	.	.	.	.	.	.	tube #4	.	M1	.	100.00	73.44	2.06	.	2.05	
.	B6.LN-ISOTYPE	.	.	.	.	.	.	.	tube #4	.	M2	.	0.00	0.00	.	.	.	
.	B6.LN-ISOTYPE	.	.	.	.	.	.	.	tube #4	.	All	.	100.00	73.44	2.82	.	2.92	
.	B6.LN-ISOTYPE	.	.	.	.	.	.	.	tube #4	.	M1	.	94.83	69.64	2.92	.	3.00	
.	B6.LN-ISOTYPE	.	.	.	.	.	.	.	tube #4	.	M2	.	0.47	0.35	51.66	.	40.32	
Data.0405.025	B6.LN-CD3/CD4	05-Apr-06	No Gate	14108	14108	FSC-H FSC-Height (Linear)	SSC-H SSC-Height (Linear)	.	tube #5	Krishna-1	R1	9981	70.75	.	462.78	211.76	.	
Data.0405.025	B6.LN-CD3/CD4	05-Apr-06	G1	9981	14108	FL1-H CD3-FITC (Log)	FL2-H CD4-PE (Log)	12, 20	tube #5	Krishna-1	UL	542	5.43	.	4.86	34.55	.	
Data.0405.025	B6.LN-CD3/CD4	05-Apr-06	G1	9981	14108	FL1-H CD3-FITC (Log)	FL2-H CD4-PE (Log)	12, 20	tube #5	Krishna-1	UR	2068	20.72	.	150.18	870.75	.	
Data.0405.025	B6.LN-CD3/CD4	05-Apr-06	G1	9981	14108	FL1-H CD3-FITC (Log)	FL2-H CD4-PE (Log)	12, 20	tube #5	Krishna-1	LL	5447	54.57	.	2.87	6.04	.	
Data.0405.025	B6.LN-CD3/CD4	05-Apr-06	G1	9981	14108	FL1-H CD3-FITC (Log)	FL2-H CD4-PE (Log)	12, 20	tube #5	Krishna-1	LR	1924	19.28	.	106.03	4.79	.	
.	B6.LN-CD3/CD4	.	.	.	.	.	.	.	tube #5	.	All	.	100.00	70.75	13.44	.	4.74	
.	B6.LN-CD3/CD4	.	.	.	.	.	.	.	tube #5	.	M1	.	60.19	42.59	3.02	.	3.00	
.	B6.LN-CD3/CD4	.	.	.	.	.	.	.	tube #5	.	M2	.	39.76	28.13	128.74	.	138.24	
.	B6.LN-CD3/CD4	.	.	.	.	.	.	.	tube #5	.	All	.	100.00	70.75	17.79	.	8.13	
.	B6.LN-CD3/CD4	.	.	.	.	.	.	.	tube #5	.	M1	.	68.89	48.74	5.49	.	5.88	
.	B6.LN-CD3/CD4	.	.	.	.	.	.	.	tube #5	.	M2	.	29.46	20.84	310.14	.	922.24	
Data.0405.026	B6.LN-CD8/CD4	05-Apr-06	No Gate	13420	13420	FSC-H FSC-Height (Linear)	SSC-H SSC-Height (Linear)	.	tube #6	Krishna-1	R1	9985	74.40	.	468.14	213.71	.	
Data.0405.026	B6.LN-CD8/CD4	05-Apr-06	G1	9985	13420	FL1-H CD8-FITC (Log)	FL2-H CD4-PE (Log)	12, 20	tube #6	Krishna-1	UL	2575	25.79	.	2.97	512.68	.	
Data.0405.026	B6.LN-CD8/CD4	05-Apr-06	G1	9985	13420	FL1-H CD8-FITC (Log)	FL2-H CD4-PE (Log)	12, 20	tube #6	Krishna-1	UR	98	0.98	.	84.55	115.63	.	
Data.0405.026	B6.LN-CD8/CD4	05-Apr-06	G1	9985	13420	FL1-H CD8-FITC (Log)	FL2-H CD4-PE (Log)	12, 20	tube #6	Krishna-1	LL	5480	54.88	.	2.54	6.05	.	
Data.0405.026	B6.LN-CD8/CD4	05-Apr-06	G1	9985	13420	FL1-H CD8-FITC (Log)	FL2-H CD4-PE (Log)	12, 20	tube #6	Krishna-1	LR	1832	18.35	.	148.94	3.68	.	
.	B6.LN-CD8/CD4	.	.	.	.	.	.	.	tube #6	.	All	.	100.00	74.40	5.78	.	3.08	
.	B6.LN-CD8/CD4	.	.	.	.	.	.	.	tube #6	.	M1	.	80.79	60.11	2.68	.	2.67	
.	B6.LN-CD8/CD4	.	.	.	.	.	.	.	tube #6	.	M2	.	19.16	14.25	147.85	.	170.01	
.	B6.LN-CD8/CD4	.	.	.	.	.	.	.	tube #6	.	All	.	100.00	74.40	17.85	.	7.84	
.	B6.LN-CD8/CD4	.	.	.	.	.	.	.	tube #6	.	M1	.	67.42	50.16	5.24	.	5.62	
.	B6.LN-CD8/CD4	.	.	.	.	.	.	.	tube #6	.	M2	.	29.98	22.31	340.37	.	956.02	
Data.0405.027	B6.LN-B220/CD4	05-Apr-06	No Gate	15402	15402	FSC-H FSC-Height (Linear)	SSC-H SSC-Height (Linear)	.	tube #7	Krishna-1	R1	9950	64.60	.	484.07	212.40	.	
Data.0405.027	B6.LN-B220/CD4	05-Apr-06	G1	9950	15402	FL1-H B220-FITC (Log)	FL2-H CD4-PE (Log)	12, 20	tube #7	Krishna-1	UL	2504	25.17	.	3.32	946.09	.	
Data.0405.027	B6.LN-B220/CD4	05-Apr-06	G1	9950	15402	FL1-H B220-FITC (Log)	FL2-H CD4-PE (Log)	12, 20	tube #7	Krishna-1	UR	480	4.82	.	140.59	117.57	.	
Data.0405.027	B6.LN-B220/CD4	05-Apr-06	G1	9950	15402	FL1-H B220-FITC (Log)	FL2-H CD4-PE (Log)	12, 20	tube #7	Krishna-1	LL	2229	22.40	.	3.23	4.86	.	
Data.0405.027	B6.LN-B220/CD4	05-Apr-06	G1	9950	15402	FL1-H B220-FITC (Log)	FL2-H CD4-PE (Log)	12, 20	tube #7	Krishna-1	LR	4737	47.61	.	300.86	3.62	.	
.	B6.LN-B220/CD4	.	.	.	.	.	.	.	tube #7	.	All	.	100.00	64.60	33.80	.	48.70	
.	B6.LN-B220/CD4	.	.	.	.	.	.	.	tube #7	.	M1	.	47.83	30.90	3.31	.	3.31	
.	B6.LN-B220/CD4	.	.	.	.	.	.	.	tube #7	.	M2	.	52.10	33.66	286.06	.	330.77	
.	B6.LN-B220/CD4	.	.	.	.	.	.	.	tube #7	.	All	.	100.00	64.60	18.57	.	6.55	
.	B6.LN-B220/CD4	.	.	.	.	.	.	.	tube #7	.	M1	.	62.48	40.36	4.34	.	4.53	
.	B6.LN-B220/CD4	.	.	.	.	.	.	.	tube #7	.	M2	.	31.42	20.30	573.19	.	1046.00	
Data.0405.028	B6.LN-B220/CXCR4	05-Apr-06	No Gate	15079	15079	FSC-H FSC-Height (Linear)	SSC-H SSC-Height (Linear)	.	tube #8	Krishna-1	R1	9962	66.07	.	487.18	214.46	.	
Data.0405.028	B6.LN-B220/CXCR4	05-Apr-06	G1	9962	15079	FL1-H B220-FITC (Log)	FL2-H CXCR4-PE (Log)	12, 20	tube #8	Krishna-1	UL	16	0.16	.	6.80	42.86	.	
Data.0405.028	B6.LN-B220/CXCR4	05-Apr-06	G1	9962	15079	FL1-H B220-FITC (Log)	FL2-H CXCR4-PE (Log)	12, 20	tube #8	Krishna-1	UR	266	2.67	.	121.56	50.68	.	
Data.0405.028	B6.LN-B220/CXCR4	05-Apr-06	G1	9962	15079	FL1-H B220-FITC (Log)	FL2-H CXCR4-PE (Log)	12, 20	tube #8	Krishna-1	LL	4745	47.63	.	3.14	2.94	.	
Data.0405.028	B6.LN-B220/CXCR4	05-Apr-06	G1	9962	15079	FL1-H B220-FITC (Log)	FL2-H CXCR4-PE (Log)	12, 20	tube #8	Krishna-1	LR	4935	49.54	.	296.17	2.80	.	
.	B6.LN-B220/CXCR4	.	.	.	.	.	.	.	tube #8	.	All	.	100.00	66.07	32.95	.	48.48	
.	B6.LN-B220/CXCR4	.	.	.	.	.	.	.	tube #8	.	M1	.	48.05	31.75	3.17	.	3.13	
.	B6.LN-B220/CXCR4	.	.	.	.	.	.	.	tube #8	.	M2	.	51.85	34.25	289.12	.	333.76	
.	B6.LN-B220/CXCR4	.	.	.	.	.	.	.	tube #8	.	All	.	100.00	66.07	3.11	.	3.02	
.	B6.LN-B220/CXCR4	.	.	.	.	.	.	.	tube #8	.	M1	.	86.68	57.27	3.19	.	3.19	
.	B6.LN-B220/CXCR4	.	.	.	.	.	.	.	tube #8	.	M2	.	3.39	2.24	42.15	.	38.54	
Data.0405.029	B6.LN-B220/CD54	05-Apr-06	No Gate	15436	15436	FSC-H FSC-Height (Linear)	SSC-H SSC-Height (Linear)	.	tube #9	Krishna-1	R1	9969	64.58	.	473.71	210.45	.	
Data.0405.029	B6.LN-B220/CD54	05-Apr-06	G1	9969	15436	FL1-H B220-FITC (Log)	FL2-H CD54-PE (Log)	12, 20	tube #9	Krishna-1	UL	3878	38.90	.	3.21	56.32	.	
Data.0405.029	B6.LN-B220/CD54	05-Apr-06	G1	9969	15436	FL1-H B220-FITC (Log)	FL2-H CD54-PE (Log)	12, 20	tube #9	Krishna-1	UR	4987	50.03	.	277.64	72.85	.	
Data.0405.029	B6.LN-B220/CD54	05-Apr-06	G1	9969	15436	FL1-H B220-FITC (Log)	FL2-H CD54-PE (Log)	12, 20	tube #9	Krishna-1	LL	777	7.79	.	2.60	11.26	.	
Data.0405.029	B6.LN-B220/CD54	05-Apr-06	G1	9969	15436	FL1-H B220-FITC (Log)	FL2-H CD54-PE (Log)	12, 20	tube #9	Krishna-1	LR	327	3.28	.	212.08	11.96	.	
.	B6.LN-B220/CD54	.	.	.	.	.	.	.	tube #9	.	All	.	100.00	64.58	33.72	.	57.77	
.	B6.LN-B220/CD54	.	.	.	.	.	.	.	tube #9	.	M1	.	47.03	30.37	3.13	.	3.08	
.	B6.LN-B220/CD54	.	.	.	.	.	.	.	tube #9	.	M2	.	52.93	34.19	279.00	.	327.81	
.	B6.LN-B220/CD54	.	.	.	.	.	.	.	tube #9	.	All	.	100.00	64.58	53.71	.	52.33	
.	B6.LN-B220/CD54	.	.	.	.	.	.	.	tube #9	.	M1	.	6.91	4.46	8.92	.	10.37	
.	B6.LN-B220/CD54	.	.	.	.	.	.	.	tube #9	.	M2	.	92.56	59.78	61.88	.	56.23	
Data.0405.030	B6.LN-B220/B7.2	05-Apr-06	No Gate	15142	15142	FSC-H FSC-Height (Linear)	SSC-H SSC-Height (Linear)	.	tube #10	Krishna-1	R1	9968	65.83	.	484.97	210.15	.	
Data.0405.030	B6.LN-B220/B7.2	05-Apr-06	G1	9968	15142	FL1-H B220-FITC (Log)	FL2-H B7.2-PE (Log)	12, 20	tube #10	Krishna-1	UL	2811	28.20	.	3.17	72.95	.	
Data.0405.030	B6.LN-B220/B7.2	05-Apr-06	G1	9968	15142	FL1-H B220-FITC (Log)	FL2-H B7.2-PE (Log)	12, 20	tube #10	Krishna-1	UR	947	9.50	.	203.38	47.21	.	
Data.0405.030	B6.LN-B220/B7.2	05-Apr-06	G1	9968	15142	FL1-H B220-FITC (Log)	FL2-H B7.2-PE (Log)	12, 20	tube #10	Krishna-1	LL	2099	21.06	.	2.87	7.00	.	
