 1029 	03/08/14	19:56	 26.00
 1038 	03/08/14	19:59	 67.50
 1024 	03/08/14	20:01	 25.00
 1039 	03/08/14	20:14	 73.50
 1023 	03/08/14	20:16	 86.00
 1035 	03/08/14	20:56	 33.00
 1028 	03/08/14	21:03	 24.81
 1028 	03/08/14	21:03	 7.19
 1026 	03/08/14	21:18	 45.00
 1033 	03/08/14	21:27	 8.50
 1033 	03/08/14	21:29	 25.50
 1040 	03/08/14	21:56	 50.00
 1041 	03/08/14	22:15	 18.00
 1036 	03/08/14	23:18	 136.89
 1036 	03/08/14	23:18	 136.89
 1036 	03/08/14	23:18	 136.89
 1036 	03/08/14	23:18	 136.89
 1036 	03/08/14	23:19	 136.89
 1036 	03/08/14	23:19	 68.45
 1036 	03/08/14	23:19	 68.45
 1036 	03/08/14	23:20	 68.45
 1036 	03/08/14	23:20	 68.45
 1036 	03/08/14	23:20	 68.45
 1036 	03/08/14	23:21	 9.58
 1036 	03/08/14	23:22	- 9.58
 1036 	03/08/14	23:22	 958.26
 1036 	03/08/14	23:23	 407.04
 1042 	03/08/14	01:29	 397.50
